s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
1.027267333767010271e+01,9.232468365297345159e+00,3.996784655771597805e+00,2.330414362993038502e+00,4.104663566756892867e-02,3.604012989078800189e+00,-3.030841062466773206e+00,8.249415145090219781e-01,6.551679295926393642e-01
1.037240803026884173e+01,9.160236954238458296e+00,3.928011637038571369e+00,2.332142138361498418e+00,-6.396815055077250192e-03,3.519140466376298182e+00,-4.355716486437217760e+00,7.717912684188680261e-01,7.065919076828934831e-01
1.047214272286758074e+01,9.087962069510819418e+00,3.859285075823884359e+00,2.329138633512383816e+00,-5.383349206188622199e-02,3.393452155614255616e+00,-3.831937881714186034e+00,7.259422197748511829e-01,7.655362770895144386e-01
1.057187741546631976e+01,9.015319257815010090e+00,3.790947571116039416e+00,2.321404255582300458e+00,-1.012599160077120031e-01,3.278896649646430017e+00,-3.373808619373773077e+00,6.782196528804423918e-01,8.261362644089459417e-01
1.067161210806505878e+01,8.941990163708689821e+00,3.723347339290914881e+00,2.308939648199513694e+00,-1.487009604688827591e-01,3.174616781279615108e+00,-2.969425090096272424e+00,6.290598791402248757e-01,8.934992104876561259e-01
1.077134680066379779e+01,8.867667408621080938e+00,3.656842721513233307e+00,2.291743250494243878e+00,-1.961358058139454630e-01,3.079915958410338828e+00,-2.607048801397071625e+00,5.857731148874664173e-01,9.646506550775715283e-01
1.087108149326253681e+01,8.792057892805626551e+00,3.591804676405798702e+00,2.269811714817736359e+00,-2.436856621391589595e-01,2.994303907300690071e+00,-2.278123972053442081e+00,5.457310047380412588e-01,1.037440611962963555e+00
1.097081618586127583e+01,8.714891757829230201e+00,3.528624598758088204e+00,2.243134040794816819e+00,-2.912905310485659482e-01,2.917437214605833162e+00,-1.971387841853927236e+00,5.075411187319845974e-01,1.112318358213470137e+00
1.107055087846001307e+01,8.635922495307577051e+00,3.467712813619758805e+00,2.211694500579120870e+00,-3.392369456834604113e-01,2.849246984795573034e+00,-1.679783929947194610e+00,4.496348811531696299e-01,1.188262639359166206e+00
1.117028557105875208e+01,8.554940285596499550e+00,3.409509072144641717e+00,2.175460220742002626e+00,-3.874108433532637563e-01,2.789828473687135713e+00,-1.389893258390814790e+00,4.015845958003854688e-01,1.265801321520554135e+00
1.127002026365749110e+01,8.471769370166724045e+00,3.354477451800585985e+00,2.134388150555558639e+00,-4.363514309361808952e-01,2.739690084453743069e+00,-1.094240689028586289e+00,3.647887445785792937e-01,1.344083256293533202e+00
1.136975495625623012e+01,8.386286243027436527e+00,3.303118745349673535e+00,2.088405278317440050e+00,-4.858282895304366078e-01,2.699561860998106688e+00,-7.737805081539339547e-01,3.414166179250345268e-01,1.424308554779303293e+00
1.146948964885496913e+01,8.298414776067733811e+00,3.255961740369236690e+00,2.037427169578242214e+00,-5.366971932786488431e-01,2.670821731062615001e+00,-4.606147841194216386e-01,3.298388504419594858e-01,1.477048891899642058e+00
1.156922434145370815e+01,8.208150306776390792e+00,3.213575497202698639e+00,1.981395457696184081e+00,-5.836821627536495916e-01,2.653565558134023838e+00,-1.836554042456845781e-01,3.270892278425578947e-01,1.389436513084018721e+00
1.166895903405244717e+01,8.115572201307649891e+00,3.176506144993089809e+00,1.921277267051127779e+00,-6.223012934984775146e-01,2.646653838480214294e+00,-2.705843015561970946e-02,3.299971093192473059e-01,1.305368887542628142e+00
1.176869372665118618e+01,8.020886712794496276e+00,3.145252981253982671e+00,1.857518478423920705e+00,-6.429141590275366802e-01,2.645633990618222686e+00,-2.705843015562416076e-02,3.382310358500562053e-01,1.226608304657185178e+00
1.186842841924992520e+01,7.924393141517585448e+00,3.120099032364660019e+00,1.794416320283071187e+00,-6.229382937395202546e-01,2.644613749470222874e+00,1.320522781321323280e-01,3.535583156143918826e-01,1.151933767824601995e+00
1.196816311184866422e+01,7.826520139217138627e+00,3.100985733693705892e+00,1.733243998743173364e+00,-6.007038191062588073e-01,2.649589075803999716e+00,2.871557193501851901e-01,3.763161396615277710e-01,1.082756721459735116e+00
1.206789780444740323e+01,7.727681414448792196e+00,3.087760521078301679e+00,1.674897040313902963e+00,-5.696436024752320471e-01,2.660376109766176445e+00,4.929612257644731543e-01,3.895382241274791268e-01,1.020581738321910903e+00
1.216763249704614225e+01,7.628247150412430067e+00,3.080170496242782718e+00,1.619545931392866400e+00,-5.406246910043560616e-01,2.678792959159787213e+00,6.617191943263794895e-01,3.979334838307098110e-01,9.533731738361945762e-01
1.226736718964487949e+01,7.528549331354056129e+00,3.077951222620736615e+00,1.567020375849591751e+00,-5.129039148520081470e-01,2.703317302669018929e+00,8.070120587249025590e-01,4.152917326984630897e-01,8.918359284396895070e-01
1.236710188224361850e+01,7.428865388743989939e+00,3.080834033963771201e+00,1.517184488764701467e+00,-4.866978221751364631e-01,2.732928582694854835e+00,9.321301515363448198e-01,4.341255387746962846e-01,8.358134201481908221e-01
