x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-0.681573,11.800285,1.0248,1.7752,-1.550841,0.037942,4.0000
-0.675361,11.549243,1.0166,1.7650,-1.541722,0.034691,4.0000
-0.667003,11.299305,1.0288,1.7712,-1.533442,0.031512,4.0000
-0.656720,11.050436,1.0343,1.7657,-1.525998,0.028205,4.0000
-0.644721,10.802268,1.0427,1.7573,-1.519709,0.022039,4.0000
-0.631166,10.550676,1.0543,1.7457,-1.514550,0.019023,4.0000
-0.616249,10.296602,1.0441,1.7171,-1.509796,0.018627,4.0000
-0.600225,10.044076,1.0216,1.6784,-1.505407,0.016018,4.0000
-0.583247,9.792611,1.0291,1.6709,-1.501656,0.013735,4.0000
-0.565466,9.542136,1.0366,1.6634,-1.498460,0.011739,4.0000
-0.547048,9.293063,1.0946,1.7054,-1.495741,0.010042,4.0000
-0.528157,9.045988,1.0751,1.6662,-1.493768,0.005781,4.0000
-0.508814,8.797682,1.0680,1.6320,-1.492639,0.003292,4.0000
-0.489140,8.547799,1.0813,1.6187,-1.491976,0.002010,4.0000
-0.469275,8.297091,1.0954,1.6046,-1.491603,0.000959,4.0000
-0.449356,8.046483,1.0877,1.5728,-1.491599,-0.000924,4.0000
-0.429499,7.795907,1.1165,1.5764,-1.492120,-0.003214,4.0000
-0.409792,7.544643,1.1303,1.5697,-1.492977,-0.003618,4.0000
-0.390419,7.294729,1.1392,1.5608,-1.494071,-0.005124,4.0000
-0.371493,7.046457,1.1384,1.5416,-1.495807,-0.008723,4.0000
-0.352976,6.796348,1.1101,1.4899,-1.498155,-0.009970,4.0000
-0.334918,6.543839,1.1177,1.4823,-1.500536,-0.008975,4.0000
-0.317509,6.292391,1.1709,1.5291,-1.502898,-0.009778,4.0000
-0.300811,6.042287,1.1718,1.5267,-1.505416,-0.010332,4.0000
-0.284870,5.793872,1.1242,1.4770,-1.508051,-0.010770,4.0000
-0.269605,5.545587,1.1779,1.5221,-1.510785,-0.011161,4.0000
-0.254969,5.296220,1.1822,1.5178,-1.513574,-0.011150,4.0000
-0.240952,5.045406,1.1862,1.5123,-1.516296,-0.010578,4.0000
-0.227595,4.794448,1.1379,1.4632,-1.518914,-0.010333,4.0000
-0.214975,4.545180,1.1377,1.4623,-1.521443,-0.009932,4.0000
-0.203055,4.297611,1.1892,1.5108,-1.523902,-0.009759,4.0000
-0.191640,4.047929,1.1953,1.5032,-1.526169,-0.008394,4.0000
-0.180664,3.796226,1.1482,1.4526,-1.527992,-0.006183,4.0000
-0.170148,3.546127,1.1486,1.4514,-1.529330,-0.004489,4.0000
-0.159966,3.297344,1.1497,1.4503,-1.530239,-0.002776,4.0000
-0.149902,3.047210,1.1442,1.4352,-1.530654,-0.000547,4.0000
-0.139807,2.795427,1.1554,1.4446,-1.530445,0.002210,4.0000
-0.129609,2.544586,1.1547,1.4453,-1.529566,0.004813,4.0000
-0.119170,2.295197,1.1537,1.4463,-1.527991,0.007783,4.0000
-0.108253,2.045981,1.1458,1.4333,-1.525716,0.010375,4.0000
-0.096606,1.795004,1.1094,1.3906,-1.522706,0.013615,4.0000
-0.084060,1.543297,1.1604,1.4396,-1.518856,0.017088,4.0000
-0.070517,1.293178,1.1594,1.4406,-1.514104,0.020803,4.0000
-0.055708,1.043731,1.1418,1.4174,-1.508462,0.024219,4.0000
-0.039333,0.793552,1.1157,1.3843,-1.501912,0.028161,4.0000
-0.021227,0.543958,1.1705,1.4295,-1.494425,0.031562,4.0000
-0.001108,0.294012,1.1784,1.4216,-1.486048,0.035275,4.0000
0.021248,0.043960,1.1560,1.3837,-1.476650,0.039764,4.0000
0.046015,-0.205047,1.1462,1.3538,-1.466205,0.043647,4.0000
0.073463,-0.453445,1.2107,1.3893,-1.454817,0.047427,4.0000
0.103860,-0.701561,1.2309,1.3691,-1.442719,0.049084,4.0000
0.137512,-0.950788,1.2192,1.3005,-1.429786,0.053906,4.0000
0.174655,-1.200284,1.2385,1.2615,-1.415617,0.058503,4.0000
0.215548,-1.449624,1.2717,1.2283,-1.400486,0.061120,4.0000
0.260476,-1.699310,1.3122,1.1878,-1.384513,0.064785,4.0000
0.309714,-1.949260,1.3665,1.1529,-1.368797,0.057866,4.0000
0.363582,-2.202778,1.4084,1.0916,-1.353464,0.060585,4.0000
0.422270,-2.458982,1.4249,0.9751,-1.331985,0.106258,4.0000
0.486418,-2.707328,1.4985,0.9015,-1.297929,0.165621,3.9066
0.556726,-2.939440,1.5342,0.7955,-1.251465,0.222718,3.2807
0.633540,-3.152279,1.6317,0.7683,-1.191195,0.321316,2.8288
0.717076,-3.341370,1.6937,0.7245,-1.109801,0.489883,2.4659
0.806898,-3.501305,1.8261,0.7734,-1.001585,0.706551,2.2316
0.903271,-3.632364,1.9219,0.8057,-0.864375,0.998989,2.0010
1.006122,-3.734773,2.0812,0.9150,-0.699235,1.247821,1.7904
1.117125,-3.812212,2.1354,0.9298,-0.525415,1.210431,1.8179
1.242728,-3.871951,2.1263,0.8896,-0.374333,0.874859,2.0345
1.393976,-3.920975,2.1403,0.8820,-0.257816,0.639652,2.2568
1.564236,-3.956728,2.1538,0.8752,-0.159209,0.549100,2.4773
